id,nominador,nominado,práctica,motivo,fecha
57,XXXQMD,GXGRWS,Mejor enfocada,eficiencia,2020-03-05 12:56:32
58,YBPEUH,UTGFSG,trabajo en equipo,integridad,2020-03-26 12:14:03
59,UGTYPD,NAAYMW,5S,liderazgo,2022-11-09 08:18:23
60,TTJBUR,MKXWIX,5S,integridad,2022-09-01 12:19:49
61,XXXQMD,ULHLQI,Mindset digital,flexibilidad,2022-12-27 15:55:32
62,TQGKAB,BYARQR,Mindset digital,liderazgo,2022-09-07 09:25:27
63,SKBQGD,HOSBFJ,Mindset digital,eficiencia,2021-02-08 08:08:59
64,YSDXVW,LBTOGT,Gestión visual,liderazgo,2022-08-04 10:47:28
65,UTGFSG,SCEBLG,Gestión visual,liderazgo,2022-04-25 11:19:12
66,VRLILS,DIUYMP,Gestión visual,liderazgo,2020-12-24 12:49:51
67,TJVMBD,QWEVBT,Mejor enfocada,eficiencia,2020-10-27 08:20:29
68,LYQTZB,ACMRSR,Mindset digital,eficiencia,2020-01-28 14:59:32
69,ULHLQI,GBNGHK,trabajo en equipo,eficiencia,2022-08-08 11:00:23
70,UXOIKV,ICSTSE,trabajo en equipo,flexibilidad,2020-09-24 10:48:23
71,SKTDVR,OSDYJF,Mejor enfocada,eficiencia,2021-03-25 09:09:30
72,ULHLQI,SESMZO,Gestión visual,integridad,2020-07-10 12:13:10
73,WEAMZG,HDMEBS,Mindset digital,liderazgo,2021-04-01 08:27:29
74,MSAPPM,GZTILD,trabajo en equipo,eficiencia,2020-09-02 12:04:07
75,ZGFFFA,YXITAI,5S,eficiencia,2021-08-04 15:48:06
76,RXRBPK,FDKEFG,5S,liderazgo,2020-04-08 16:25:17
77,XXXQMD,KQMIRF,5S,flexibilidad,2020-04-09 15:35:40
78,QVGXTN,KEUSNF,Gestión visual,liderazgo,2021-08-04 12:51:40
79,TJZCUB,RHMZLJ,5S,liderazgo,2020-10-20 09:53:00
80,KUIQQV,DIUYMP,5S,flexibilidad,2021-08-17 15:24:57
81,XXDOCZ,RCBJMC,Mindset digital,liderazgo,2022-02-24 14:11:04
82,ZVRSPJ,YSDXVW,trabajo en equipo,liderazgo,2020-11-10 09:09:04
83,ULHLQI,UGJBEZ,trabajo en equipo,integridad,2020-01-14 09:22:56
84,QOQREG,PWAOVJ,Mindset digital,integridad,2021-07-27 13:52:12
85,XXDOCZ,SKBQGD,5S,eficiencia,2020-11-13 11:31:10
86,SRHEUW,PARQZG,Gestión visual,integridad,2022-04-20 14:13:37
87,THIDGP,IAINEP,5S,eficiencia,2022-06-24 11:09:59
88,UUSLBB,ADACNO,trabajo en equipo,liderazgo,2020-11-12 12:02:01
89,YMYLFX,OHZSFW,5S,liderazgo,2022-04-22 15:14:33
90,ULHLQI,CHZYGW,5S,liderazgo,2022-03-10 10:55:16
91,YELGTT,DBAUMT,Mejor enfocada,eficiencia,2020-01-07 09:55:25
92,LBTOGT,IAINEP,Mejor enfocada,eficiencia,2022-10-20 16:34:42
93,ODRKER,LYQTZB,Mindset digital,integridad,2021-08-02 13:33:12
94,ZFSNEE,YMYLFX,Mindset digital,liderazgo,2021-12-08 14:59:02
95,ZGFFFA,ZFSNEE,Mindset digital,integridad,2021-08-18 16:55:38
96,WPQVQF,VTURVS,trabajo en equipo,liderazgo,2022-08-03 13:04:51
97,UXWVVZ,THIDGP,Mindset digital,eficiencia,2020-10-09 10:50:35
98,ZVRSPJ,VFHEHR,Gestión visual,liderazgo,2022-01-10 12:29:35
99,EAOTWG,DBAUMT,Gestión visual,eficiencia,2022-11-14 11:46:45
100,AUDTVZ,AICYGJ,Gestión visual,liderazgo,2020-07-14 11:21:06
101,EQTLKU,EKJNGS,Mindset digital,eficiencia,2022-11-15 09:48:21
102,UXOIKV,LRDAXO,Gestión visual,flexibilidad,2020-04-01 10:12:20
103,YPEREB,BYARQR,5S,eficiencia,2022-11-03 16:57:17
104,ZJTHTP,OCRIHG,Mejor enfocada,flexibilidad,2022-10-10 16:51:15
105,WIRZZR,RHMZLJ,Mejor enfocada,integridad,2020-07-09 10:28:11
106,ULHLQI,PHZJVT,5S,flexibilidad,2021-11-02 13:59:53
107,XGLFJS,PUJIAS,Mejor enfocada,flexibilidad,2022-08-02 09:11:20
108,ZJTHTP,THIDGP,Mindset digital,liderazgo,2021-07-09 16:04:18
109,MARBVV,EDTPEY,Mindset digital,liderazgo,2020-04-28 12:32:16
110,WTEZZM,LUTHTK,5S,integridad,2020-07-21 10:19:41
111,XXOQZL,RHMZLJ,5S,flexibilidad,2022-08-24 08:24:25
112,RHBVCY,LRDAXO,Mindset digital,integridad,2021-07-15 13:53:08
113,YPEREB,SCEBLG,5S,integridad,2020-01-28 15:38:44
114,CGGPQA,CATXCK,5S,eficiencia,2020-05-05 11:52:19
115,KELKAC,DHEKDV,Mindset digital,flexibilidad,2022-07-12 14:17:46
116,WPQVQF,PARQZG,Mindset digital,integridad,2021-10-14 10:06:28
117,WJTRJS,ODRKER,Mindset digital,eficiencia,2022-12-23 14:08:53
118,QOQREG,PWAOVJ,Gestión visual,integridad,2020-08-03 13:16:54
119,PHZJVT,EKJNGS,Mejor enfocada,eficiencia,2021-02-22 08:22:53
120,ZJTHTP,ICSTSE,Gestión visual,integridad,2022-02-07 11:54:11
121,QOUKJT,AAYJSY,trabajo en equipo,eficiencia,2020-07-28 08:03:58
122,WPCELQ,ACMRSR,Gestión visual,eficiencia,2021-07-19 09:41:32
123,ZFSNEE,YXITAI,5S,eficiencia,2021-09-02 15:42:49
124,TQGKAB,RXRBPK,5S,eficiencia,2022-03-10 14:20:25
125,ZVRSPJ,XGLFJS,trabajo en equipo,liderazgo,2021-03-11 15:46:35
126,YXITAI,RIXIXG,trabajo en equipo,liderazgo,2021-02-11 11:16:18
127,WPQVQF,KELKAC,Mejor enfocada,eficiencia,2021-02-05 11:46:07
128,UGTYPD,TQGKAB,trabajo en equipo,flexibilidad,2020-08-21 09:33:45
129,VRLILS,LYQTZB,Gestión visual,flexibilidad,2020-09-10 15:03:50
130,MMMROI,KQMIRF,trabajo en equipo,eficiencia,2022-05-06 13:44:24
131,GKWWEC,FISWLE,5S,integridad,2022-11-14 15:29:16
132,TVGKMZ,EAOTWG,5S,flexibilidad,2021-05-11 10:03:02
133,YWBCVM,YWBCVM,Mejor enfocada,eficiencia,2021-06-21 09:44:29
134,WJTRJS,MSAPPM,Mindset digital,flexibilidad,2021-02-16 10:42:00
135,TTJBUR,RFOFIV,5S,flexibilidad,2022-06-07 10:48:31
136,XBWZWG,HVGQZL,Mejor enfocada,flexibilidad,2022-01-24 15:54:41
137,CRLVKD,AORPNC,trabajo en equipo,flexibilidad,2021-12-06 10:21:02
138,RHBVCY,LOOGPX,5S,flexibilidad,2020-03-05 09:12:29
139,URYLNS,QVGXTN,5S,integridad,2022-11-24 15:13:49
140,CHZYGW,AESPXA,Mindset digital,integridad,2022-01-28 12:35:22
141,SKTDVR,SCEBLG,5S,eficiencia,2022-05-26 10:54:47
142,UXWVVZ,DSAIUZ,trabajo en equipo,eficiencia,2022-08-03 10:26:29
143,TJZCUB,ICSTSE,5S,liderazgo,2021-05-18 09:06:39
144,LUTHTK,AESPXA,Gestión visual,liderazgo,2020-05-08 16:10:42
145,ZGFFFA,PKOKGH,Mejor enfocada,integridad,2020-10-28 11:05:45
146,YWBCVM,LHAHZY,5S,liderazgo,2021-06-16 12:10:45
147,YPEREB,YBPEUH,5S,integridad,2022-12-14 10:43:11
148,UGTYPD,TJZCUB,Mejor enfocada,eficiencia,2021-09-21 14:42:21
149,WITHGI,OCRIHG,Mindset digital,liderazgo,2020-02-10 16:12:38
150,ZGFFFA,YMYLFX,Gestión visual,liderazgo,2022-03-22 11:43:40
151,TTJBUR,GHZJTZ,trabajo en equipo,integridad,2020-04-01 09:37:25
152,QBRDLY,CRLVKD,trabajo en equipo,eficiencia,2020-06-09 12:42:44
153,ZGFFFA,GYWCQG,5S,liderazgo,2022-04-07 11:02:36
154,WTEZZM,CGGPQA,Gestión visual,eficiencia,2020-10-02 16:56:46
155,SKTDVR,GTKOAR,Mejor enfocada,flexibilidad,2021-07-13 08:17:57
156,ZGFFFA,YELGTT,Gestión visual,eficiencia,2022-03-16 08:48:13
157,YWBCVM,XXXQMD,Mejor enfocada,liderazgo,2022-07-19 08:56:49
158,ULHLQI,MARBVV,5S,eficiencia,2021-07-15 14:34:52
159,YWBCVM,TQGKAB,Mindset digital,eficiencia,2021-03-05 14:52:23
160,TOUMIM,RHLLVF,Mejor enfocada,integridad,2022-09-20 16:21:35
161,YWBCVM,WPCELQ,trabajo en equipo,flexibilidad,2022-07-21 12:55:09
162,RFOFIV,CHZYGW,trabajo en equipo,liderazgo,2021-09-17 09:00:27
163,UUSLBB,IJZCZD,Gestión visual,flexibilidad,2020-05-28 15:39:10
164,PARQZG,PARQZG,Mejor enfocada,eficiencia,2022-10-13 10:42:43
165,LYQTZB,JCOBFG,Gestión visual,eficiencia,2021-08-11 13:30:17
166,RIXIXG,GTKOAR,Mindset digital,liderazgo,2021-10-15 16:20:21
167,UGJBEZ,OSDYJF,Mejor enfocada,eficiencia,2021-02-22 12:29:15
168,URYLNS,ASKKCQ,Mindset digital,flexibilidad,2021-07-07 12:26:59
169,YYZTHO,YELGTT,Mindset digital,liderazgo,2022-02-15 09:41:14
170,NUQHZM,AOPCNY,Mejor enfocada,integridad,2020-06-18 10:43:05
171,QVGXTN,CUCDHW,Mindset digital,integridad,2021-02-17 10:10:40
172,RHLLVF,PHZJVT,Mindset digital,eficiencia,2020-07-15 09:19:29
173,TTJBUR,EAOTWG,Mindset digital,integridad,2022-07-26 16:45:01
174,VGUJXS,UIUGGE,trabajo en equipo,flexibilidad,2021-07-02 09:47:18
175,ZJTHTP,WPQVQF,trabajo en equipo,liderazgo,2021-07-01 14:01:01
176,RCBJMC,PUJIAS,5S,eficiencia,2021-12-20 08:47:59
177,RHBVCY,PKOKGH,Mindset digital,liderazgo,2021-10-11 13:45:19
178,UUSLBB,QIFFFW,trabajo en equipo,flexibilidad,2022-11-01 11:07:08
179,EHQSCS,BYARQR,5S,flexibilidad,2022-04-07 08:01:50
180,ZFSNEE,SPISFP,Mejor enfocada,liderazgo,2021-02-22 15:40:44
181,OALJGY,NOPCYT,trabajo en equipo,integridad,2020-09-11 13:09:38
182,XXOQZL,TJZCUB,trabajo en equipo,integridad,2021-11-05 14:29:56
183,ZJTHTP,ZGFFFA,trabajo en equipo,integridad,2021-08-03 10:45:26
184,PDZTYG,AHCZOB,trabajo en equipo,integridad,2020-01-07 10:55:18
185,THIDGP,RZBQVC,trabajo en equipo,eficiencia,2021-04-19 10:40:42
186,YBPEUH,XPKFER,5S,flexibilidad,2020-07-17 14:12:35
187,XXXQMD,LRNAYY,Mindset digital,integridad,2021-07-07 15:12:26
188,GJNMKD,ADACNO,trabajo en equipo,eficiencia,2020-09-18 12:25:53
189,WPQVQF,UUSLBB,Gestión visual,flexibilidad,2022-04-19 14:39:10
190,MKXWIX,AICYGJ,5S,eficiencia,2020-09-15 10:18:32
191,ICSTSE,EAOTWG,trabajo en equipo,integridad,2022-10-20 11:04:38
192,XOKEPR,VGUJXS,Mejor enfocada,eficiencia,2021-02-17 10:38:37
193,OALJGY,HOCGQX,Mindset digital,eficiencia,2021-05-05 13:01:09
194,OTDUUD,OKOBZI,Mindset digital,liderazgo,2022-10-05 15:04:47
195,UXWVVZ,UGTYPD,Mindset digital,flexibilidad,2021-01-04 16:20:22
196,YSDXVW,CATXCK,5S,integridad,2020-12-08 14:04:10
197,THIDGP,HDMEBS,Mejor enfocada,integridad,2021-12-13 10:44:15
198,XOKEPR,XKNINO,5S,eficiencia,2020-02-05 14:09:46
199,GYWCQG,GSAZKQ,Gestión visual,flexibilidad,2022-08-18 15:14:00
200,TNFUQD,SESMZO,Mejor enfocada,integridad,2022-04-25 14:11:51
201,TQGKAB,DSPLFC,Gestión visual,flexibilidad,2021-04-21 16:46:27
202,PWAOVJ,KHQIMX,Mejor enfocada,liderazgo,2021-12-24 15:24:16
203,ZJTHTP,XGLFJS,Mejor enfocada,integridad,2020-04-16 09:18:08
204,YSDXVW,WEAMZG,5S,eficiencia,2022-12-21 08:35:00
205,TJVMBD,NGQYDO,Gestión visual,liderazgo,2020-12-21 15:09:26
206,YPEREB,TCYMBR,Mindset digital,liderazgo,2022-05-25 08:36:29
207,SPISFP,RXRBPK,5S,flexibilidad,2021-03-02 16:46:47
208,VGUJXS,OCRIHG,5S,eficiencia,2020-08-17 12:05:05
209,MKXWIX,EDTPEY,Mindset digital,liderazgo,2020-07-24 13:56:03
210,LHAHZY,CTJUNF,Gestión visual,flexibilidad,2020-11-12 09:22:53
211,OCRIHG,BVNVRI,Mejor enfocada,integridad,2022-12-02 14:54:06
212,TVGKMZ,TJZCUB,Mejor enfocada,flexibilidad,2020-05-08 15:33:42
213,YELGTT,HDMEBS,Mejor enfocada,flexibilidad,2021-04-27 11:36:29
214,WITHGI,LTJQSN,5S,liderazgo,2021-12-13 13:54:01
215,SESMZO,EAOTWG,trabajo en equipo,integridad,2022-12-15 15:58:31
216,XXXQMD,QIFFFW,5S,flexibilidad,2020-10-12 08:04:41
217,YXITAI,YXITAI,5S,flexibilidad,2022-12-22 10:43:42
218,TTJBUR,GJNMKD,trabajo en equipo,integridad,2020-03-05 14:41:24
219,SKTDVR,RIXIXG,5S,integridad,2021-01-12 13:26:09
220,VGUJXS,TQGKAB,5S,flexibilidad,2021-11-23 16:10:28
221,ZJTHTP,ZGFFFA,5S,flexibilidad,2020-03-20 11:28:38
222,PKOKGH,LUTHTK,Mindset digital,eficiencia,2021-05-20 10:28:51
223,MPAOFI,LUTHTK,Mindset digital,flexibilidad,2020-11-20 15:21:49
224,YSDXVW,WPQVQF,trabajo en equipo,integridad,2020-05-06 16:32:56
225,FSGQEK,EDTPEY,5S,liderazgo,2022-05-13 12:53:13
226,NOPCYT,EAOTWG,Gestión visual,integridad,2020-09-04 15:39:25
227,PZTNGZ,DIUYMP,5S,integridad,2020-02-03 12:12:28
228,PHZJVT,FYNZIQ,Gestión visual,liderazgo,2020-05-18 10:27:12
229,UXOIKV,SRHEUW,Mejor enfocada,flexibilidad,2021-06-02 12:13:03
230,WPQVQF,AVNCFG,5S,flexibilidad,2021-08-19 11:08:21
231,JDKPXA,AKNUZC,trabajo en equipo,liderazgo,2021-03-09 16:23:50
232,QOUKJT,ICSTSE,5S,flexibilidad,2021-08-05 08:52:42
233,YYZTHO,NCVITT,Mindset digital,flexibilidad,2020-05-07 14:30:30
234,SKTDVR,SKTDVR,Gestión visual,flexibilidad,2021-07-01 15:32:03
235,YWBCVM,YWBCVM,Gestión visual,flexibilidad,2021-09-16 08:28:22
236,UTGFSG,MMMROI,5S,eficiencia,2020-05-05 16:46:16
237,UXWVVZ,CGGPQA,Gestión visual,eficiencia,2022-01-21 08:51:47
238,XPKFER,XGLFJS,trabajo en equipo,integridad,2022-09-19 10:01:58
239,LOOGPX,BPNTVI,Gestión visual,eficiencia,2022-10-13 15:29:10
240,VGUJXS,UTGFSG,Mejor enfocada,integridad,2022-09-13 13:11:50
241,XOKEPR,JVPKMH,Mindset digital,eficiencia,2021-11-24 14:36:46
242,PWAOVJ,PHZJVT,Mindset digital,integridad,2020-12-15 16:01:42
243,ZVRSPJ,ZJTHTP,Mindset digital,eficiencia,2022-06-14 14:55:43
244,HPCBNT,DSPLFC,trabajo en equipo,flexibilidad,2020-12-08 08:47:08
245,TTJBUR,PDZTYG,Mindset digital,integridad,2020-05-21 15:14:20
246,XKNINO,JQFVBG,Gestión visual,eficiencia,2020-09-02 16:10:31
247,ZJTHTP,TJVMBD,Mindset digital,flexibilidad,2022-04-25 11:24:34
248,XBWZWG,CUCDHW,Mindset digital,liderazgo,2020-03-10 13:37:19
249,FISWLE,FISWLE,Mindset digital,eficiencia,2021-09-09 12:18:44
250,WJTRJS,UGTYPD,trabajo en equipo,integridad,2021-08-17 16:49:20
251,RZBQVC,KJSLKY,Gestión visual,liderazgo,2020-12-10 14:38:02
252,VFHEHR,CGGPQA,trabajo en equipo,eficiencia,2020-06-23 16:23:33
253,KVXWQK,JGDITO,trabajo en equipo,integridad,2022-03-16 10:09:19
254,RCBJMC,DIUYMP,5S,liderazgo,2020-09-28 09:29:09
255,YXITAI,AOPCNY,Mindset digital,integridad,2022-11-03 13:05:27
256,GYWCQG,CGGPQA,trabajo en equipo,flexibilidad,2021-11-04 10:05:48
257,XXOQZL,BOVVQR,5S,eficiencia,2022-06-13 14:48:37
258,ZJTHTP,RHMZLJ,Gestión visual,integridad,2020-07-28 09:48:39
259,ZGFFFA,WITHGI,Mejor enfocada,integridad,2022-10-04 14:45:01
260,UGJBEZ,RFOFIV,5S,eficiencia,2020-09-23 12:29:18
261,ZVRSPJ,UXWVVZ,trabajo en equipo,flexibilidad,2020-03-20 14:50:44
262,ZJTHTP,EAOTWG,Mejor enfocada,liderazgo,2020-09-09 15:19:35
263,RZBQVC,LHAHZY,5S,eficiencia,2021-08-11 15:57:09
264,YXITAI,QVGXTN,trabajo en equipo,flexibilidad,2022-06-17 11:40:41
265,ZVRSPJ,PDZTYG,5S,liderazgo,2021-01-12 13:14:44
266,XKNINO,XGLFJS,Mejor enfocada,eficiencia,2020-09-01 14:05:28
267,PAFJGV,AKNUZC,Mindset digital,flexibilidad,2020-12-28 11:28:49
268,KEUSNF,FJQVLT,5S,integridad,2022-02-24 13:54:37
269,ZGFFFA,XGLFJS,trabajo en equipo,liderazgo,2021-03-02 12:55:57
270,XXXQMD,RXEKOY,Gestión visual,flexibilidad,2020-01-09 09:28:08
271,SPISFP,EDTPEY,Mindset digital,integridad,2020-11-05 12:09:18
272,YYZTHO,UXOIKV,Gestión visual,eficiencia,2021-08-20 08:13:19
273,JYSKJJ,IRQQGL,Mindset digital,liderazgo,2021-02-15 14:59:09
274,ULHLQI,NAAYMW,Mejor enfocada,integridad,2022-04-21 12:26:59
275,YBPEUH,XKNINO,trabajo en equipo,integridad,2021-05-07 15:55:17
276,THIDGP,EAOTWG,Mindset digital,flexibilidad,2020-07-14 09:10:38
277,WPCELQ,GJNMKD,trabajo en equipo,integridad,2020-09-24 08:38:38
278,XOKEPR,BYARQR,Gestión visual,flexibilidad,2020-04-03 12:39:27
279,PWAOVJ,EKOPDB,5S,integridad,2021-01-19 14:36:31
280,SRHEUW,RCBJMC,trabajo en equipo,eficiencia,2020-10-23 11:07:59
281,OIMGGQ,FDKEFG,5S,integridad,2022-02-18 08:13:46
282,TNFUQD,PDZTYG,Gestión visual,integridad,2022-09-02 14:18:06
283,UTGFSG,GJNMKD,5S,liderazgo,2022-12-16 11:56:18
284,LGERMY,JDKPXA,Mejor enfocada,flexibilidad,2020-11-05 15:47:02
285,WTEZZM,WTEZZM,trabajo en equipo,eficiencia,2022-03-17 08:53:44
286,NUBWLD,GKWWEC,5S,flexibilidad,2020-05-18 12:02:30
287,TJVMBD,OCRIHG,5S,liderazgo,2021-06-28 11:08:38
288,YXITAI,RZBQVC,trabajo en equipo,liderazgo,2021-09-20 15:18:46
289,UPALUH,AESPXA,Mejor enfocada,eficiencia,2020-11-27 15:08:58
290,VRLILS,GKWWEC,Mindset digital,liderazgo,2020-12-14 10:48:00
291,IRQQGL,AAYJSY,5S,flexibilidad,2020-05-14 08:41:10
292,RHBVCY,RHBVCY,5S,flexibilidad,2021-03-24 15:11:52
293,XXDOCZ,LOCLBR,trabajo en equipo,liderazgo,2022-10-03 14:54:03
294,ZJTHTP,WITHGI,trabajo en equipo,liderazgo,2022-01-06 12:00:23
295,WPQVQF,LRNAYY,Mindset digital,liderazgo,2022-05-10 12:09:30
296,ZFSNEE,UTGFSG,5S,liderazgo,2022-04-08 16:45:49
297,SKTDVR,HPCBNT,Gestión visual,liderazgo,2020-07-24 12:12:23
298,XKNINO,UXOIKV,Gestión visual,integridad,2021-01-08 14:00:01
299,DSAIUZ,BYARQR,Gestión visual,integridad,2021-01-20 08:42:45
300,YBPEUH,NCVITT,Mejor enfocada,liderazgo,2021-10-19 16:02:08
301,LHAHZY,JDKPXA,5S,flexibilidad,2020-10-20 09:34:53
302,UPALUH,MELVYR,5S,integridad,2022-01-11 15:30:15
303,XXDOCZ,OQASBV,Gestión visual,eficiencia,2022-07-13 13:16:52
304,XQOAVC,MPAOFI,Mejor enfocada,flexibilidad,2022-08-17 16:30:40
305,YBPEUH,UIUGGE,trabajo en equipo,flexibilidad,2022-11-23 16:23:29
306,KLBYOH,GGCZIW,trabajo en equipo,liderazgo,2022-07-26 15:53:21
307,ZJTHTP,RFOFIV,trabajo en equipo,eficiencia,2022-01-04 13:34:25
308,WIRZZR,TVGKMZ,trabajo en equipo,flexibilidad,2020-07-24 10:58:38
309,YSDXVW,YPEREB,Gestión visual,flexibilidad,2020-07-13 11:19:48
310,EAOTWG,AOPCNY,Mindset digital,flexibilidad,2020-08-20 12:51:21
311,TTJBUR,TQGKAB,5S,eficiencia,2020-12-07 09:11:42
312,RXEKOY,EQTLKU,Mindset digital,liderazgo,2022-02-23 08:33:49
313,UUSLBB,LOCLBR,5S,eficiencia,2020-08-10 15:29:52
314,WIRZZR,KJSLKY,Mindset digital,liderazgo,2022-07-22 15:12:38
315,WPQVQF,FJQVLT,Mejor enfocada,eficiencia,2020-01-27 09:19:59
316,XGLFJS,OCRIHG,Gestión visual,integridad,2022-06-24 13:44:48
317,JQFVBG,IYSOAD,Gestión visual,liderazgo,2022-05-19 12:37:43
318,WTEZZM,UIUGGE,Mindset digital,flexibilidad,2022-03-10 12:19:46
319,LOCLBR,BOVVQR,5S,flexibilidad,2021-04-19 13:22:30
320,XKNINO,TOUMIM,Mindset digital,liderazgo,2020-09-22 10:16:02
321,YMYLFX,LTJQSN,Mindset digital,liderazgo,2020-02-19 12:22:25
322,YWBCVM,URYLNS,trabajo en equipo,integridad,2022-12-28 09:57:02
323,XGLFJS,PDZTYG,Mejor enfocada,integridad,2022-04-25 08:03:57
324,WPCELQ,URYLNS,Mejor enfocada,flexibilidad,2020-05-11 12:23:17
325,QWEVBT,CHZYGW,Mindset digital,flexibilidad,2020-05-20 15:04:06
326,RCBJMC,OQIZSN,Gestión visual,eficiencia,2020-03-17 13:32:17
327,MDSLPF,GZTILD,5S,eficiencia,2020-11-10 16:48:30
328,ZGFFFA,TVGKMZ,trabajo en equipo,flexibilidad,2020-11-25 08:25:07
329,RXEKOY,QBRDLY,trabajo en equipo,integridad,2020-09-25 08:31:03
330,XPKFER,MKXWIX,Gestión visual,liderazgo,2022-01-03 13:21:56
331,XGLFJS,HVSCPV,trabajo en equipo,flexibilidad,2022-01-13 12:46:44
332,PARQZG,JVPKMH,Mindset digital,flexibilidad,2021-04-07 16:47:03
333,ULHLQI,UGJBEZ,5S,flexibilidad,2021-09-23 10:51:36
334,TQGKAB,MARBVV,5S,liderazgo,2022-04-13 15:23:25
335,MSAPPM,KEUSNF,Gestión visual,eficiencia,2020-02-10 08:31:18
336,NCVITT,NAAYMW,Mejor enfocada,flexibilidad,2021-07-16 15:38:29
